gene_id	N45G1	N45G2	N45G3	N45G4	N45G5	S45G1	S45G2	S45G3	S45G4	S45G5
UdeG00000000293	0	5	0	0	0	0	0	0	0	0
UdeG00000000296	435	330	249	164	145	313	527	445	368	425
UdeG00000000297	2642	687	1109	2490	858	391	1336	662	1323	2204
UdeG00000000298	167	148	85	220	347	266	402	540	236	349
UdeG00000000299	1987	3628	3637	1748	2352	1901	4797	1060	2709	2129
UdeG00000000300	1142	1891	1802	1616	2223	945	1243	2312	1325	1319
UdeG00000000301	512	510	635	565	994	329	560	707	520	521
UdeG00000000302	76	47	47	24	32	28	50	28	31	9
UdeG00000000303	385	455	692	613	469	401	611	528	366	417
UdeG00000000306	1727	1008	1723	2018	2912	1042	1320	1488	825	961
UdeG00000000307	1963	1775	2465	1683	2694	923	576	421	531	616
UdeG00000000308	3	29	0	58	56	77	22	63	37	73
UdeG00000000310	0	0	6	0	0	0	0	13	0	0
UdeG00000000311	0	0	0	0	0	0	0	0	0	0
UdeG00000000313	3213	3758	1902	1864	153	1429	2029	2818	1852	2003
UdeG00000000314	179	0	33	148	12	94	16	80	33	73
UdeG00000000315	129	166	75	52	156	0	0	5	0	4
UdeG00000000316	100	136	43	50	122	3	3	23	1	3
UdeG00000000317	185	141	97	146	200	23	48	56	35	25
UdeG00000000318	17610	18018	12339	8575	21008	10754	12346	10742	12647	8017
UdeG00000000319	0	0	0	0	0	0	0	1	1	0
UdeG00000000320	0	0	1	0	0	0	0	1	0	0
UdeG00000000321	4	8	6	5	12	1	1	1	1	3
UdeG00000000322	11	22	0	0	0	27	34	52	11	0
UdeG00000000323	284	329	276	127	116	103	119	391	91	10
UdeG00000000324	0	10	0	0	0	1	0	0	0	0
UdeG00000000325	0	0	0	0	0	0	0	0	0	4
UdeG00000000326	0	0	0	0	0	0	0	0	0	0
UdeG00000000327	34	16	30	50	0	47	27	26	32	6
UdeG00000000328	3302	2598	4593	4116	276	596	617	1072	636	824
UdeG00000000329	0	0	0	1078	0	0	0	0	0	0
UdeG00000000330	0	0	0	125	0	0	0	0	0	0
UdeG00000000331	17	43	8	6423	0	0	117	7	8	0
UdeG00000000332	29	44	4	30	12	0	176	0	96	46
UdeG00000000333	4	0	0	0	1	0	0	0	0	0
UdeG00000000334	0	0	0	0	0	11	0	0	0	0
UdeG00000000335	25	0	41	45	16	60	101	42	56	157
UdeG00000000336	2235	4754	3418	1230	3506	5067	2460	5805	1933	3732
UdeG00000000337	0	0	0	0	0	8	0	26	0	0
UdeG00000000338	2020	1765	2949	3296	3930	1142	4940	1863	2595	1758
UdeG00000000339	0	51	0	20	0	28	0	19	30	98
UdeG00000000340	112	399	193	106	217	47	262	182	139	290
UdeG00000000341	0	0	0	6	0	0	0	2	2	0
UdeG00000000342	0	0	0	0	0	0	0	0	0	0
UdeG00000000343	0	0	0	0	0	0	0	0	0	0
UdeG00000000344	157	141	238	213	432	254	296	318	212	295
UdeG00000000345	1639	1769	2080	1786	2859	1694	2473	2186	2603	2675
UdeG00000000346	3956	2895	4778	4366	6190	2811	4519	4608	3974	4499
UdeG00000000347	0	0	0	0	0	0	0	0	0	0
UdeG00000000348	0	0	0	0	0	0	0	0	0	0
UdeG00000000349	1924	1918	2312	2037	2448	1893	2216	2599	2211	1041
UdeG00000000350	128	469	223	46	172	226	43	124	36	28
UdeG00000000351	2230	2180	3237	1146	2406	2708	452	3904	3975	5010
UdeG00000000352	41	50	65	58	57	49	20	42	54	61
UdeG00000000353	30	38	41	0	0	7	56	22	5	0
UdeG00000000354	14	0	0	0	0	0	0	0	0	0
UdeG00000000356	0	0	0	0	0	0	0	0	0	0
UdeG00000000357	79	182	75	73	98	52	241	59	26	19
UdeG00000000358	17	50	31	23	20	11	0	0	0	0
UdeG00000000359	0	0	0	0	0	0	0	0	0	0
UdeG00000000360	370	487	445	328	668	296	242	426	391	289
UdeG00000000361	10	0	0	0	0	0	0	0	0	0
UdeG00000000362	622	707	1045	576	1810	600	810	391	406	263
UdeG00000000363	2	4	22	3	6	35	22	19	6	18
UdeG00000000364	9	7	12	20	11	23	22	31	22	24
UdeG00000000365	10	25	18	36	11	19	33	17	33	50
UdeG00000000366	0	0	0	0	0	0	0	0	0	0
UdeG00000000367	0	0	0	11	0	0	0	0	0	0
UdeG00000000368	224	256	295	199	540	607	335	845	247	205
UdeG00000000369	475226	353375	518122	168461	216433	256896	123008	325928	91168	235855
UdeG00000000370	0	0	0	0	0	0	0	0	0	0
UdeG00000000371	0	0	0	0	0	0	0	0	0	0
UdeG00000000372	0	0	0	0	0	0	0	0	0	0
UdeG00000000373	10	20	26	8	13	7	7	3	5	7
UdeG00000000374	138	1360	2381	197	161	751	187	227	114	159
UdeG00000000375	21	0	0	0	0	0	0	0	0	0
UdeG00000000376	0	214	170	100	43	195	403	790	432	355
UdeG00000000377	69	82	40	38	32	26	0	0	0	10
UdeG00000000378	0	0	0	0	0	0	20	0	0	0
UdeG00000000379	0	0	0	6	0	0	14	0	0	8
UdeG00000000380	1699	1279	2207	1857	1822	824	1362	1531	1220	1271
UdeG00000000381	3	8	0	0	0	0	0	11	0	9
UdeG00000000382	212	2	60	332	321	77	168	84	80	35
UdeG00000000383	5	0	0	15	0	0	0	0	0	0
UdeG00000000385	0	0	0	0	9	0	0	17	0	0
UdeG00000000386	59	0	38	3	46	18	37	44	0	75
UdeG00000000388	22	11	30	24	47	14	23	25	0	17
UdeG00000000389	1061	690	1799	1631	371	213	470	263	399	246
UdeG00000000390	0	0	8	0	0	0	0	14	2	0
UdeG00000000391	5	13	4	4	0	0	0	0	0	4
UdeG00000000392	4	0	0	0	0	0	0	0	0	0
UdeG00000000393	383	230	620	576	173	512	340	400	172	273
UdeG00000000395	54	47	42	125	25	28	26	39	21	28
UdeG00000000397	954	683	906	1557	404	324	295	298	240	332
UdeG00000000398	0	0	0	0	0	0	0	0	0	0
UdeG00000000400	2015	1342	2479	2109	1977	1897	1301	2369	1457	1581
UdeG00000000401	2744	5045	5335	4811	3456	3687	2580	4258	2141	3111
UdeG00000000402	1396	2219	2521	1583	1756	1628	1435	1903	1228	1468
UdeG00000000403	446	512	484	581	709	307	428	570	353	361
UdeG00000000404	29562	29487	40572	55106	41610	20409	29359	24426	39509	24816
UdeG00000000405	468	78	260	559	669	405	318	371	156	266
UdeG00000000406	700	398	478	305	9816	1556	484	2539	1083	887
UdeG00000000407	45161	23931	32322	14937	24453	69765	32503	45973	34702	35459
UdeG00000000408	63114	36899	51179	25740	25799	85349	50551	61186	40526	42965
UdeG00000000409	120452	60195	79986	42788	66618	131332	52143	83723	73225	70117
UdeG00000000410	68639	29209	41884	20888	42254	115280	43765	76043	58365	50851
UdeG00000000411	100323	65329	99104	71236	46474	153643	113192	119502	57823	86732
UdeG00000000413	33	11	42	79	97	43	32	19	44	49
UdeG00000000414	104	122	144	153	98	65	314	152	234	267
UdeG00000000415	6052	5417	8044	8026	7517	6625	8941	6856	5877	4700
UdeG00000000417	2229	1431	3177	2287	2799	1146	4081	3777	1035	1716
UdeG00000000418	1163	1507	1780	2266	1911	1273	1839	1222	1597	1102
UdeG00000000419	11	0	0	17	6	12	13	3	0	3
UdeG00000000422	620	188	574	581	1305	191	485	320	267	336
UdeG00000000423	0	0	0	0	0	0	0	0	0	0
UdeG00000000424	963	558	1528	1076	1331	539	1099	828	693	284
UdeG00000000425	2148	1578	2299	2113	2007	2228	2386	2401	1625	1954
UdeG00000000426	1410	2761	2585	4266	3185	2249	3541	1772	1928	2394
UdeG00000000427	62	52	26	61	85	17	19	19	12	58
UdeG00000000428	12	17	7	45	57	18	4	21	10	8
UdeG00000000429	43	12	31	40	27	5	0	11	2	5
UdeG00000000430	89	7	9	3	3	0	4	0	17	0
UdeG00000000431	15	18	20	49	108	6	34	0	23	29
UdeG00000000432	0	0	0	0	0	0	0	0	0	0
UdeG00000000433	0	0	0	0	0	0	0	0	0	0
UdeG00000000434	0	0	0	0	0	22	4	0	0	0
UdeG00000000435	0	0	3	2	0	15	2	22	2	4
UdeG00000000436	14	2	13	5	0	5	6	8	0	0
